"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"117","Gu8PtdpfavQ","2022-04-20T01:30:05Z","UCeY0bbntWzzVIaj2z3QigXg","Mortgage Rates Soar As Housing Market Cools","Economists say the housing market could be cooling down. The housing inventory is at the lowest since 1999 as builders ...","https://i.ytimg.com/vi/Gu8PtdpfavQ/default.jpg","120","90","https://i.ytimg.com/vi/Gu8PtdpfavQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Gu8PtdpfavQ/hqdefault.jpg","480","360","NBC News","none","2022-04-20T01:30:05Z"
"118","SZM1smkZzbg","2021-04-24T23:24:24Z","UCeY0bbntWzzVIaj2z3QigXg","Is College Worth The Money? | NBC Nightly News","As the cost of a four-year degree continues to rise, more corporations and CEO's are saying you don't need to go to college to ...","https://i.ytimg.com/vi/SZM1smkZzbg/default.jpg","120","90","https://i.ytimg.com/vi/SZM1smkZzbg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SZM1smkZzbg/hqdefault.jpg","480","360","NBC News","none","2021-04-24T23:24:24Z"
"119","Bz-c1Vst9fs","2021-10-24T00:30:02Z","UCeY0bbntWzzVIaj2z3QigXg","Workers Fired For Refusing Vaccine Speak Out","Thousands of people have lost their jobs because they refused to get the Covid vaccine. Now, some are speaking out about the ...","https://i.ytimg.com/vi/Bz-c1Vst9fs/default.jpg","120","90","https://i.ytimg.com/vi/Bz-c1Vst9fs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Bz-c1Vst9fs/hqdefault.jpg","480","360","NBC News","none","2021-10-24T00:30:02Z"
"120","OxUY03uQKU8","2022-07-28T21:30:15Z","UCeY0bbntWzzVIaj2z3QigXg","Trump Lawyers Press Claim Of Legal Immunity From Jan. 6 Civil Lawsuits","Lawyers for former President Trump are arguing that he has legal immunity from civil lawsuits filed by Democratic members of ...","https://i.ytimg.com/vi/OxUY03uQKU8/default.jpg","120","90","https://i.ytimg.com/vi/OxUY03uQKU8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/OxUY03uQKU8/hqdefault.jpg","480","360","NBC News","none","2022-07-28T21:30:15Z"
"121","QCCI36gtPgg","2021-10-10T23:35:24Z","UCeY0bbntWzzVIaj2z3QigXg","Tensions Mount Between China and Taiwan","Taiwan's President Tsai Ing-Wen responded defiantly to President Xi Jinping's vow to reunify with China, saying the island will not ...","https://i.ytimg.com/vi/QCCI36gtPgg/default.jpg","120","90","https://i.ytimg.com/vi/QCCI36gtPgg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/QCCI36gtPgg/hqdefault.jpg","480","360","NBC News","none","2021-10-10T23:35:24Z"
"122","htB9V0sY48w","2022-02-23T01:30:16Z","UCeY0bbntWzzVIaj2z3QigXg","DHS Warns Of Urgent Cyberattack Threat As Russia Tensions Escalate","The Department of Homeland Security warns “every organization in the United States is at risk from cyber threats” with Russia ...","https://i.ytimg.com/vi/htB9V0sY48w/default.jpg","120","90","https://i.ytimg.com/vi/htB9V0sY48w/mqdefault.jpg","320","180","https://i.ytimg.com/vi/htB9V0sY48w/hqdefault.jpg","480","360","NBC News","none","2022-02-23T01:30:16Z"
"123","kN826RibeHU","2022-02-28T02:03:20Z","UCeY0bbntWzzVIaj2z3QigXg","Global Leaders Scramble To Punish Putin","The US and European countries are sending additional weapons to Ukraine as the US and European Union impose more ...","https://i.ytimg.com/vi/kN826RibeHU/default.jpg","120","90","https://i.ytimg.com/vi/kN826RibeHU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kN826RibeHU/hqdefault.jpg","480","360","NBC News","none","2022-02-28T02:03:20Z"
"124","DNM6wFEnwd8","2022-02-27T13:00:35Z","UCeY0bbntWzzVIaj2z3QigXg","How Russia&#39;s Invasion Of Ukraine Will Cost The American Economy","The invasion of Ukraine is driving up oil and wheat prices rise worldwide, as inflation and the pandemic continue to weigh on ...","https://i.ytimg.com/vi/DNM6wFEnwd8/default.jpg","120","90","https://i.ytimg.com/vi/DNM6wFEnwd8/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DNM6wFEnwd8/hqdefault.jpg","480","360","NBC News","none","2022-02-27T13:00:35Z"
"125","KyBWkDh37ic","2023-10-21T02:30:08Z","UCeY0bbntWzzVIaj2z3QigXg","&#39;She sounds very good&#39;: Father of U.S. hostage released by Hamas speaks out","Uri Raanan, the father of Natalie Raanan who along with her mother Judith were released by Hamas, told reporters that his ...","https://i.ytimg.com/vi/KyBWkDh37ic/default.jpg","120","90","https://i.ytimg.com/vi/KyBWkDh37ic/mqdefault.jpg","320","180","https://i.ytimg.com/vi/KyBWkDh37ic/hqdefault.jpg","480","360","NBC News","none","2023-10-21T02:30:08Z"
"126","RMEKZFPLoxY","2022-03-08T05:30:04Z","UCeY0bbntWzzVIaj2z3QigXg","Russia Reportedly Using Weapons In Ukraine That May Violate International Law","According to officials, the U.S. is collecting evidence of alleged Russian war crimes with the International Criminal Court opening ...","https://i.ytimg.com/vi/RMEKZFPLoxY/default.jpg","120","90","https://i.ytimg.com/vi/RMEKZFPLoxY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/RMEKZFPLoxY/hqdefault.jpg","480","360","NBC News","none","2022-03-08T05:30:04Z"
